(-799.8046875, 4.8828125, -16.11328125, -941.89453125, 181.640625) 
(233.88671875, -19.04296875, -20.5078125, -167.96875, 43.9453125) 
(-1000.0, -53.22265625, -33.69140625, -1000.0, -20.01953125) 
(-306.15234375, -45.8984375, -32.71484375, -55.6640625, 37.59765625) 
(-821.2890625, -12.20703125, -22.4609375, -833.984375, 141.6015625) 
(476.5625, -21.484375, -22.4609375, 196.2890625, 55.17578125) 
(-1000.0, -55.17578125, -31.25, -1000.0, -31.25) 
(-723.14453125, -47.8515625, -28.80859375, -434.08203125, -58.10546875) 
(858.88671875, -20.99609375, -17.578125, -962.40234375, -204.1015625) 
(994.140625, -27.34375, -12.20703125, 578.125, -279.296875) 
(137.6953125, -27.83203125, -19.04296875, 648.4375, -185.546875) 
(-479.4921875, -53.22265625, -27.34375, -885.7421875, -213.8671875) 
(104.98046875, -36.62109375, -26.85546875, -465.33203125, -57.6171875) 
(-1000.0, -60.05859375, -36.1328125, -789.55078125, -224.609375) 
(-770.01953125, -0.9765625, -16.6015625, 880.37109375, -54.6875) 
(-1000.0, -73.73046875, -38.57421875, -1000.0, -167.96875) 
(-803.22265625, -19.04296875, -19.04296875, -925.78125, -136.71875) 
(-250.9765625, -49.31640625, -32.2265625, 166.9921875, -155.76171875) 
(241.2109375, -34.1796875, -20.99609375, -110.83984375, -154.78515625) 
(-1000.0, -70.3125, -28.3203125, -1000.0, -184.5703125) 
(-871.58203125, -11.23046875, -23.4375, -853.02734375, 28.80859375) 
(-415.0390625, -60.05859375, -28.80859375, -168.45703125, -102.5390625) 
(589.84375, -15.625, -22.4609375, 297.8515625, -0.9765625) 
(-876.953125, -61.5234375, -33.203125, -532.2265625, 52.24609375) 
(-1000.0, -59.08203125, -30.76171875, -1000.0, 0.48828125) 
(656.73828125, -18.5546875, -26.3671875, 947.265625, 93.26171875) 
(-272.94921875, -48.33984375, -40.52734375, -758.30078125, 88.8671875) 
(-885.7421875, -0.9765625, -22.4609375, 675.78125, 145.01953125) 
(-1000.0, -74.21875, -50.78125, -911.62109375, -125.0) 
(-40.0390625, -42.48046875, -41.50390625, 474.609375, -158.69140625) 
(-779.296875, -7.8125, -33.69140625, 916.9921875, -127.9296875) 
(194.3359375, -32.2265625, -36.1328125, -390.13671875, -113.76953125) 
(-1000.0, -64.453125, -41.50390625, -1000.0, -56.15234375) 
(-261.71875, -36.1328125, -30.76171875, 87.890625, 15.625) 
(-803.22265625, -2.44140625, -19.04296875, -900.390625, 40.52734375) 
(288.57421875, -26.85546875, -24.90234375, -40.0390625, -399.90234375) 
(-1000.0, -65.91796875, -36.62109375, -1000.0, -997.55859375) 
(-581.0546875, -56.640625, -34.1796875, -336.42578125, -1000.0) 
(-971.6796875, -23.4375, -25.390625, -898.4375, -982.91015625) 
(719.7265625, -16.6015625, -32.71484375, 407.71484375, -1000.0) 
(-860.3515625, -47.36328125, -39.0625, -1000.0, -1000.0) 
(-1000.0, -54.19921875, -35.64453125, -707.03125, -1000.0) 
(359.86328125, -16.6015625, -31.25, 765.13671875, -1000.0) 
(-809.08203125, 2.44140625, -29.78515625, 758.7890625, -1000.0) 
(-106.4453125, -35.15625, -30.76171875, -662.109375, -1000.0) 
(-792.96875, -7.32421875, -23.92578125, -997.0703125, -965.33203125) 
(-1000.0, -60.546875, -34.66796875, -979.98046875, -995.1171875) 
(227.5390625, -29.296875, -35.15625, -242.1875, -831.54296875) 
(-162.59765625, -31.73828125, -31.25, 329.58984375, -1000.0) 
(-1000.0, -59.08203125, -44.921875, -1000.0, -863.28125) 
(-269.04296875, -40.0390625, -35.15625, -21.97265625, -836.42578125) 
(438.4765625, -15.13671875, -22.94921875, 130.859375, -660.15625) 
(-806.15234375, -3.41796875, -28.80859375, -850.5859375, -673.33984375) 
(-1000.0, -58.10546875, -30.2734375, -1000.0, -722.16796875) 
(-657.2265625, -62.01171875, -35.64453125, -412.59765625, -668.45703125) 
(941.40625, -11.23046875, -21.97265625, -941.40625, -602.5390625) 
(915.52734375, -5.859375, -18.5546875, 514.16015625, -614.74609375) 
(-590.8203125, -53.22265625, -31.25, -942.87109375, -588.8671875) 
(203.125, -15.625, -21.97265625, 669.921875, -426.26953125) 
(-1000.0, -57.6171875, -33.69140625, -764.16015625, -443.359375) 
(77.63671875, -30.76171875, -31.73828125, -480.95703125, -279.296875) 
(-774.4140625, 2.9296875, -16.11328125, 870.60546875, -403.3203125) 
(-1000.0, -58.10546875, -43.9453125, -1000.0, -175.29296875) 
(-248.53515625, -38.0859375, -36.1328125, 223.14453125, -195.3125) 
(-798.33984375, -15.13671875, -24.4140625, -947.75390625, -355.46875) 
(234.86328125, -34.66796875, -27.34375, -180.17578125, -492.67578125) 
(-1000.0, -53.7109375, -38.0859375, -1000.0, 341.30859375) 
(-826.66015625, -0.9765625, -20.99609375, -839.84375, 937.5) 
(-280.2734375, -29.78515625, -33.203125, 6.34765625, -941.40625) 
(-998.53515625, -45.8984375, -35.64453125, -1000.0, 975.5859375) 
(599.12109375, -12.20703125, -23.4375, 256.34765625, 969.23828125) 
(762.20703125, -22.4609375, -24.90234375, 957.03125, 972.65625) 
(-931.640625, -12.20703125, -24.90234375, 594.23828125, 978.02734375) 
